threshold,mean_leaves,std_leaves,cv_accuracy_mean,cv_accuracy_std
0.0,1387.0,0.0,0.8320000000000001,0.01638596960817392
5.0,1372.8025,8.784389207565885,0.8334999999999999,0.01700000000000002
6.0,1367.815,10.600225233456126,0.8350000000000002,0.01332291259447426
7.0,1362.4675,12.589993794676786,0.834,0.01806931099959267
8.0,1357.2085,14.177236252175527,0.8300000000000001,0.017535677916750165
9.0,1351.2385,15.895238839036045,0.8344999999999999,0.01426534261768714
10.0,1344.877,17.548158621348282,0.837,0.013171939872319502
11.0,1337.9425,19.151010254030986,0.834,0.01601561737804696
12.0,1330.9285,20.703414881366793,0.836,0.019659603251337494
13.0,1323.547,22.2884452351437,0.8370000000000001,0.02105943968865269
14.0,1316.125,24.176421881659824,0.8255000000000001,0.02063976744055031
15.0,1308.835,25.741673896621407,0.836,0.01309580085370881
20.0,1266.0295,34.74614553803054,0.8310000000000001,0.0029999999999999875
25.0,1220.6905,44.47007656559634,0.825,0.01387443692551159
30.0,1176.016,51.58145736599539,0.8230000000000001,0.020396078054371138
35.0,1132.7995,54.38152535328519,0.8055,0.021295539439046864
40.0,1089.805,55.69132764623232,0.8145,0.018466185312619367
45.0,1044.4225,55.770753928470434,0.8160000000000001,0.012708265027138822
50.0,995.2345,53.97784276673161,0.8035,0.014798648586948713
55.0,940.6315,51.80768000740817,0.807,0.02363260459619294
60.0,882.8455,49.71334458422608,0.807,0.021874642854227345
65.0,822.7075,48.00028066324196,0.8145,0.02394786002965611
70.0,761.2015,47.05384041446564,0.818,0.015116216457830973
75.0,698.758,48.779262356046345,0.8099999999999999,0.009354143466934832
80.0,632.8,51.18803571148243,0.8139999999999998,0.012509996003196782
85.0,558.5785,50.43327113870367,0.8165000000000001,0.023748684174075857
90.0,471.2965,45.635957180166606,0.8185,0.014713938969562152
95.0,355.1305,37.838861898186096,0.8089999999999999,0.013472193585307457
100.0,130.1755,32.37388916627102,0.8009999999999999,0.009300537618869148
