threshold,mean_leaves,std_leaves,cv_accuracy_mean,cv_accuracy_std
0.0,1387.0,0.0,0.8805,0.00913783344124852
5.0,1368.817,9.680418947545608,0.8789999999999999,0.014543039572248973
10.0,1337.665,19.419288735687516,0.8724999999999999,0.005477225575051626
15.0,1299.292,28.329961807245702,0.874,0.007348469228349498
20.0,1255.6195,37.10769084367821,0.8755000000000001,0.010295630140986995
25.0,1209.5545,44.65038666965831,0.881,0.014543039572248983
30.0,1162.249,50.067574327103166,0.8825,0.0057008771254956556
35.0,1116.0055,54.7950314330597,0.8789999999999999,0.0060415229867972825
40.0,1070.017,58.408164763156186,0.8895,0.009669539802906869
45.0,1021.636,61.73997492710861,0.8880000000000001,0.015033296378372875
50.0,970.9825,63.667622805865776,0.8895,0.012083045973594551
55.0,917.686,66.27170138150974,0.891,0.010559356040971423
60.0,863.26,68.66970511076919,0.8875,0.009617692030835647
61.0,851.7895,69.10112292683817,0.8869999999999999,0.012884098726725099
62.0,840.238,69.59072032965315,0.8940000000000001,0.012806248474865708
63.0,828.73,69.92110625555061,0.8915,0.016628289148315874
64.0,817.021,69.98710994890416,0.8859999999999999,0.01736375535418534
65.0,805.8385,70.16726029816184,0.8915000000000001,0.005385164807134497
66.0,793.6765,70.33945441748891,0.892,0.012786711852544425
67.0,781.576,70.37082651212788,0.8845000000000001,0.011335784048754606
68.0,769.3495,70.6190013363967,0.889,0.013285330255586404
69.0,756.7825,70.40318312228503,0.9,0.012549900398011167
70.0,743.7985,70.52010988186277,0.885,0.011067971810589328
75.0,679.276,68.33276537650148,0.883,0.008276472678623427
80.0,608.2555,64.19827271624993,0.8865000000000001,0.007000000000000012
85.0,526.1605,58.4171442279576,0.8805,0.013171939872319478
90.0,425.905,50.980564679101,0.882,0.008276472678623413
95.0,290.8105,40.745510056323994,0.86,0.01955760721560794
