threshold,mean_leaves,std_leaves,cv_accuracy_mean,cv_accuracy_std
0.0,1387.0,0.0,0.892,0.014000000000000012
1.0,1386.493,1.2953574796171132,0.9030000000000001,0.011661903789690611
2.0,1384.84,2.929573347776089,0.898,0.014352700094407337
3.0,1382.434,4.555177713327988,0.8989999999999998,0.0058309518948453055
4.0,1379.656,6.352138537532065,0.8940000000000001,0.014628738838327807
5.0,1376.443,8.04628802616461,0.8930000000000001,0.012489995996796807
6.0,1372.774,9.7189980965118,0.89,0.020736441353327736
7.0,1368.718,11.337128207795834,0.897,0.022494443758404006
8.0,1364.5,12.794920867281673,0.9010000000000001,0.016552945357246864
9.0,1359.961,14.312493807858923,0.8940000000000001,0.013928388277184131
10.0,1354.675,15.826919314888794,0.8979999999999999,0.016309506430300106
11.0,1348.996,17.380793537695567,0.905,0.013784048752090234
12.0,1343.467,18.527247798850212,0.905,0.017606816861659026
13.0,1337.308,20.259643037329162,0.901,0.015297058540778367
14.0,1330.969,21.681652128009063,0.8960000000000001,0.011135528725660053
15.0,1324.717,23.69124122961902,0.898,0.010770329614269018
16.0,1318.228,24.884131811256744,0.89,0.011832159566199244
17.0,1311.652,26.819151664435623,0.8950000000000001,0.01923538406167136
18.0,1304.863,28.933341165513532,0.893,0.00979795897113272
19.0,1297.939,30.938572672313118,0.898,0.014696938456699083
20.0,1290.436,33.17526042098238,0.883,0.016309506430300106
21.0,1283.245,35.114967962394616,0.891,0.01019803902718558
22.0,1276.507,36.754645298247674,0.8850000000000001,0.008944271909999166
23.0,1268.689,40.162598011084896,0.8940000000000001,0.011135528725660053
24.0,1260.691,42.765564640257,0.8960000000000001,0.009165151389911688
25.0,1252.78,45.13583498729142,0.892,0.00979795897113272
26.0,1244.845,47.81860490436751,0.8869999999999999,0.024207436873820428
27.0,1236.352,50.13065026508234,0.8869999999999999,0.02135415650406264
28.0,1228.324,52.34276477222043,0.89,0.02408318915758461
29.0,1221.304,53.865680948076765,0.891,0.029393876913398165
30.0,1212.958,56.43954496627343,0.898,0.021587033144922923
31.0,1205.5,58.3194135772986,0.9039999999999999,0.020346989949375824
32.0,1198.219,59.65759833416025,0.9010000000000001,0.024372115213907867
33.0,1190.149,61.62852260925943,0.897,0.019646882704388517
34.0,1182.622,63.410812295696076,0.9010000000000001,0.019849433241279225
35.0,1174.969,64.76795534058489,0.897,0.01860107523773829
36.0,1168.279,66.10412361570192,0.9029999999999999,0.008124038404635967
37.0,1161.094,67.50711935788699,0.89,0.014142135623730963
38.0,1153.747,68.8352597946721,0.8899999999999999,0.012649110640673528
39.0,1146.109,70.11833653902522,0.8950000000000001,0.008366600265340762
40.0,1138.924,71.05955406558643,0.893,0.019131126469709006
41.0,1131.559,72.17911414668374,0.889,0.01685229954635273
42.0,1124.413,73.04203194736576,0.8950000000000001,0.018165902124584965
43.0,1117.663,73.92368653550768,0.898,0.015684387141358135
44.0,1110.112,74.9539288896853,0.893,0.025416530054277693
45.0,1102.372,75.61670196457924,0.8939999999999999,0.010198039027185577
46.0,1094.932,76.4268629213577,0.8959999999999999,0.016552945357246864
47.0,1087.708,77.59941195653482,0.8880000000000001,0.014352700094407337
48.0,1080.19,78.41790548082753,0.8859999999999999,0.012806248474865708
49.0,1072.69,79.39108199287877,0.8880000000000001,0.00979795897113272
50.0,1065.616,80.43377738239079,0.8939999999999999,0.004898979485566361
51.0,1058.398,81.40315470545352,0.899,0.018275666882497082
52.0,1051.129,82.54030748064851,0.897,0.019646882704388517
53.0,1043.722,83.72959283311964,0.892,0.011661903789690611
54.0,1036.567,84.99277328690953,0.9,0.01140175425099139
55.0,1029.268,86.60665203089195,0.9040000000000001,0.014966629547095779
56.0,1021.702,87.69976736571198,0.8950000000000001,0.010954451150103333
57.0,1014.724,89.00952659125876,0.898,0.010770329614269016
58.0,1008.223,90.48280096791876,0.897,0.006782329983125275
59.0,1001.443,92.508619874042,0.8869999999999999,0.016309506430300106
60.0,994.639,94.43186262591668,0.8960000000000001,0.015297058540778367
61.0,988.39,96.52931109253811,0.8870000000000001,0.01029563014098701
62.0,982.441,98.93012948035599,0.8829999999999998,0.018055470085267807
63.0,976.144,101.78473001388764,0.889,0.016552945357246864
64.0,970.387,104.68093059865296,0.8799999999999999,0.020493901531919215
65.0,965.143,107.17274164170664,0.881,0.012409673645990868
70.0,940.702,123.38220777729666,0.883,0.012489995996796807
75.0,924.52,138.3249999096331,0.877,0.006782329983125274
80.0,915.931,149.29148079847022,0.8789999999999999,0.012806248474865708
85.0,912.199,155.49812667360337,0.874,0.011575836902790236
90.0,911.329,157.53447482694065,0.8790000000000001,0.007348469228349541
95.0,911.209,157.83930853561162,0.8790000000000001,0.007348469228349541
