threshold,mean_leaves,std_leaves,cv_accuracy_mean,cv_accuracy_std
0.0,1387.0,0.0,0.8283333333333334,0.02211083193570267
5.0,1369.02,9.719547314561517,0.8450000000000001,0.02211083193570265
10.0,1338.41,19.546403761306067,0.8483333333333333,0.027080128015453203
15.0,1300.27,28.823724603180622,0.8533333333333333,0.012472191289246466
20.0,1256.91,37.90239966017983,0.8266666666666665,0.021984843263788207
25.0,1210.545,45.35347809154222,0.8550000000000001,0.01715938356831166
30.0,1162.32,50.30365394283004,0.86,0.008164965809277273
35.0,1116.39,54.788026976703584,0.8550000000000001,0.015456030825826163
40.0,1070.82,58.98887691760202,0.8616666666666667,0.01715938356831165
45.0,1022.285,61.459854986812324,0.8566666666666667,0.022607766610417565
50.0,972.055,64.22189638277587,0.8533333333333335,0.016329931618554516
65.0,806.67,70.90162974149466,0.8733333333333333,0.02494438257849295
70.0,745.085,72.29922388933369,0.875,0.03374742788552765
75.0,680.79,69.86376671780587,0.8716666666666667,0.0339934634239519
80.0,609.765,64.81704849034705,0.8549999999999999,0.0501663898109747
85.0,527.64,58.33421294574909,0.86,0.03308238873546536
90.0,426.545,49.82095919389751,0.8316666666666667,0.039581140290126396
95.0,290.37,39.86217630787361,0.8400000000000001,0.029533408577782253
100.0,24.745,10.179880893212847,0.7533333333333333,0.027688746209726896
